service,usage,status,timestamp
Water,158.75,Operational,2024-11-24 17:55:17
Water,9062.85,Operational,2024-11-24 17:55:22
Electricity,6861.59,Partially Operational,2024-11-24 17:55:27
Waste Management,4211.82,Non-Operational,2024-11-24 17:55:32
Waste Management,1486.53,Operational,2024-11-24 17:55:37
Electricity,2716.6,Non-Operational,2024-11-24 17:55:42
Water,5566.66,Non-Operational,2024-11-24 17:55:47
Waste Management,2821.66,Non-Operational,2024-11-24 17:55:52
Electricity,3796.09,Non-Operational,2024-11-24 17:55:57
Electricity,6362.42,Non-Operational,2024-11-24 17:56:02
Water,3797.57,Non-Operational,2024-11-24 17:56:07
Waste Management,7445.88,Operational,2024-11-24 17:56:12
Water,1374.67,Non-Operational,2024-11-24 17:56:17
Water,3767.47,Non-Operational,2024-11-24 17:56:22
Water,1897.11,Operational,2024-11-24 17:56:27
Waste Management,7148.89,Non-Operational,2024-11-24 17:56:32
Waste Management,3289.27,Partially Operational,2024-11-24 17:56:37
Water,1040.31,Partially Operational,2024-11-24 17:56:42
Electricity,3312.8,Non-Operational,2024-11-24 17:56:47
Waste Management,619.79,Operational,2024-11-24 17:56:52
Water,5701.03,Operational,2024-11-24 17:56:57
Waste Management,8377.11,Non-Operational,2024-11-24 17:57:02
Water,5179.8,Operational,2024-11-24 17:57:07
Water,1430.19,Operational,2024-11-24 17:57:12
Waste Management,3677.3,Non-Operational,2024-11-24 17:57:17
Water,6565.6,Operational,2024-11-24 17:57:22
Waste Management,9735.35,Operational,2024-11-24 17:57:27
Electricity,4012.86,Operational,2024-11-24 17:57:32
Waste Management,9807.88,Operational,2024-11-24 17:57:37
Water,7360.37,Non-Operational,2024-11-24 17:57:42
Electricity,4736.91,Non-Operational,2024-11-24 17:57:47
Waste Management,6792.85,Operational,2024-11-24 17:57:52
Waste Management,1152.34,Operational,2024-11-24 17:57:57
Waste Management,3608.46,Operational,2024-11-24 17:58:02
Electricity,2527.24,Non-Operational,2024-11-24 17:58:07
Water,8408.6,Operational,2024-11-24 17:58:12
Water,114.09,Operational,2024-11-24 17:58:17
Water,4583.78,Non-Operational,2024-11-24 17:58:22
Electricity,7373.41,Partially Operational,2024-11-24 17:58:27
Water,7744.86,Operational,2024-11-24 17:58:32
Waste Management,4213.48,Partially Operational,2024-11-24 17:58:37
Waste Management,8541.82,Operational,2024-11-24 17:58:42
Electricity,1819.11,Non-Operational,2024-11-24 17:58:47
Waste Management,6196.57,Partially Operational,2024-11-24 17:58:52
Water,844.27,Partially Operational,2024-11-24 17:58:57
Water,6620.9,Operational,2024-11-24 17:59:02
Electricity,7597.73,Partially Operational,2024-11-24 17:59:07
Water,7462.01,Partially Operational,2024-11-24 17:59:12
Electricity,4736.7,Non-Operational,2024-11-24 17:59:17
Waste Management,2785.41,Operational,2024-11-24 17:59:22
Waste Management,7304.46,Partially Operational,2024-11-24 17:59:27
Water,1921.9,Partially Operational,2024-11-24 17:59:32
Waste Management,7636.47,Operational,2024-11-24 17:59:37
Water,4633.18,Non-Operational,2024-11-24 17:59:42
Waste Management,3075.87,Partially Operational,2024-11-24 17:59:47
Water,5197.27,Partially Operational,2024-11-24 17:59:52
Waste Management,9400.69,Non-Operational,2024-11-24 17:59:57
Water,6875.82,Operational,2024-11-24 18:00:02
Waste Management,9978.77,Non-Operational,2024-11-24 18:00:07
Electricity,4902.69,Non-Operational,2024-11-24 18:00:12
Water,3134.34,Partially Operational,2024-11-24 18:00:18
Waste Management,2232.57,Non-Operational,2024-11-24 18:00:23
Water,9707.12,Non-Operational,2024-11-24 18:00:28
Water,6380.49,Partially Operational,2024-11-24 18:00:33
Water,8520.28,Operational,2024-11-24 18:00:38
Electricity,8748.12,Operational,2024-11-24 18:00:43
Water,5863.93,Non-Operational,2024-11-24 18:00:48
Electricity,6320.23,Partially Operational,2024-11-24 18:00:53
Waste Management,1726.41,Operational,2024-11-24 18:00:58
Electricity,6272.82,Operational,2024-11-24 18:01:03
Water,7252.56,Non-Operational,2024-11-24 18:01:08
Electricity,7093.29,Partially Operational,2024-11-24 18:01:13
Electricity,7496.53,Non-Operational,2024-11-24 18:01:18
Electricity,1220.67,Partially Operational,2024-11-24 18:01:23
Water,4807.23,Operational,2024-11-24 18:01:28
Water,6586.58,Non-Operational,2024-11-24 18:01:33
Electricity,1319.78,Operational,2024-11-24 18:01:38
Waste Management,1034.62,Non-Operational,2024-11-24 18:01:43
Waste Management,5792.54,Operational,2024-11-24 18:01:48
Waste Management,9407.88,Operational,2024-11-24 18:01:53
Waste Management,6041.37,Non-Operational,2024-11-24 18:01:58
Water,4646.37,Partially Operational,2024-11-24 18:02:03
Electricity,5906.3,Non-Operational,2024-11-24 18:02:08
Electricity,7941.13,Partially Operational,2024-11-24 18:02:13
Waste Management,7111.07,Non-Operational,2024-11-24 18:02:18
Electricity,781.79,Partially Operational,2024-11-24 18:02:23
Waste Management,2891.9,Non-Operational,2024-11-24 18:02:28
Waste Management,382.0,Operational,2024-11-24 18:02:33
Waste Management,547.65,Partially Operational,2024-11-24 18:02:38
Electricity,3352.49,Operational,2024-11-24 18:02:43
Electricity,5424.92,Operational,2024-11-24 18:02:48
Water,9140.7,Partially Operational,2024-11-24 18:02:53
Electricity,6343.27,Non-Operational,2024-11-24 18:02:58
Water,3345.43,Partially Operational,2024-11-24 18:03:03
Water,551.62,Operational,2024-11-24 18:03:08
Water,1654.27,Non-Operational,2024-11-24 18:03:13
Electricity,4474.44,Operational,2024-11-24 18:03:18
Waste Management,6795.04,Partially Operational,2024-11-24 18:03:23
Water,9943.87,Non-Operational,2024-11-24 18:03:28
Electricity,2739.36,Non-Operational,2024-11-24 18:03:33
Waste Management,2965.17,Partially Operational,2024-11-24 18:03:38
Electricity,7409.01,Operational,2024-11-24 18:03:43
Electricity,2337.02,Partially Operational,2024-11-24 18:03:48
Water,8648.93,Operational,2024-11-24 18:03:53
Electricity,9289.97,Partially Operational,2024-11-24 18:03:58
Waste Management,2106.83,Non-Operational,2024-11-24 18:04:03
Waste Management,5004.44,Non-Operational,2024-11-24 18:04:08
Waste Management,7307.26,Partially Operational,2024-11-24 18:04:13
Water,217.25,Operational,2024-11-24 18:04:18
Water,2741.14,Non-Operational,2024-11-24 18:04:23
Water,7967.44,Partially Operational,2024-11-24 18:04:28
Electricity,8277.04,Operational,2024-11-24 18:04:33
Water,5174.31,Operational,2024-11-24 18:04:38
Waste Management,9583.69,Operational,2024-11-24 18:04:43
Electricity,4802.7,Partially Operational,2024-11-24 18:04:48
Electricity,3118.97,Non-Operational,2024-11-24 18:04:53
Electricity,5725.3,Non-Operational,2024-11-24 18:04:58
Waste Management,1983.02,Partially Operational,2024-11-24 18:05:03
Water,4397.39,Partially Operational,2024-11-24 18:05:08
Water,2120.06,Non-Operational,2024-11-24 18:05:13
Waste Management,2592.48,Partially Operational,2024-11-24 18:05:18
Waste Management,1789.59,Operational,2024-11-24 18:05:23
Water,8492.26,Operational,2024-11-24 18:05:29
Waste Management,1216.05,Operational,2024-11-24 18:05:34
Waste Management,2510.44,Partially Operational,2024-11-24 18:05:39
Water,6417.52,Partially Operational,2024-11-24 18:05:44
Waste Management,2378.69,Partially Operational,2024-11-24 18:05:49
Waste Management,3221.37,Non-Operational,2024-11-24 18:05:54
Electricity,6921.65,Operational,2024-11-24 18:05:59
Water,5981.12,Partially Operational,2024-11-24 18:06:04
Water,7113.91,Operational,2024-11-24 18:06:09
Electricity,3981.81,Partially Operational,2024-11-24 18:06:14
Water,461.23,Non-Operational,2024-11-24 18:06:19
Electricity,3809.69,Operational,2024-11-24 18:06:24
Waste Management,5718.56,Operational,2024-11-24 18:06:29
Waste Management,2798.54,Operational,2024-11-24 18:06:34
Electricity,7108.32,Operational,2024-11-24 18:06:39
Electricity,8844.05,Non-Operational,2024-11-24 18:06:44
Waste Management,4471.59,Non-Operational,2024-11-24 18:06:49
Water,3049.16,Operational,2024-11-24 18:06:54
Water,6693.22,Non-Operational,2024-11-24 18:06:59
Electricity,6172.06,Non-Operational,2024-11-24 18:07:04
Waste Management,7278.72,Non-Operational,2024-11-24 18:07:09
Water,9330.27,Non-Operational,2024-11-24 18:07:14
Water,7710.33,Non-Operational,2024-11-24 18:07:19
Water,1856.32,Partially Operational,2024-11-24 18:07:24
Electricity,3639.38,Operational,2024-11-24 18:07:29
Electricity,8626.06,Operational,2024-11-24 18:07:34
Waste Management,6516.03,Operational,2024-11-24 18:07:39
Electricity,7269.75,Operational,2024-11-24 18:07:44
Electricity,4323.0,Non-Operational,2024-11-24 18:07:49
Water,6066.69,Partially Operational,2024-11-24 18:07:54
Water,9041.78,Partially Operational,2024-11-24 18:07:59
Electricity,1023.04,Operational,2024-11-24 18:08:04
Waste Management,1222.22,Non-Operational,2024-11-24 18:08:09
Waste Management,1168.71,Non-Operational,2024-11-24 18:08:15
Electricity,3861.57,Non-Operational,2024-11-24 18:08:20
Water,3612.5,Non-Operational,2024-11-24 18:08:25
Waste Management,4295.77,Partially Operational,2024-11-24 18:08:30
Electricity,7951.58,Non-Operational,2024-11-24 18:08:35
Waste Management,8800.06,Partially Operational,2024-11-24 18:08:40
Waste Management,3506.36,Partially Operational,2024-11-24 18:08:45
Electricity,8913.24,Non-Operational,2024-11-24 18:08:50
Water,4566.93,Operational,2024-11-24 18:08:55
Water,1116.08,Partially Operational,2024-11-24 18:09:00
Water,8912.21,Partially Operational,2024-11-24 18:09:05
Water,5780.65,Partially Operational,2024-11-24 18:09:10
Waste Management,5059.73,Operational,2024-11-24 18:09:15
Water,1328.2,Non-Operational,2024-11-24 18:09:20
Water,3213.96,Operational,2024-11-24 18:09:25
Waste Management,477.45,Partially Operational,2024-11-24 18:09:30
Water,2687.51,Non-Operational,2024-11-24 18:09:35
Electricity,8195.7,Partially Operational,2024-11-24 18:09:40
Water,1688.42,Operational,2024-11-24 18:09:45
Water,6850.11,Operational,2024-11-24 18:09:50
Waste Management,3493.75,Operational,2024-11-24 18:09:55
Electricity,9450.11,Non-Operational,2024-11-24 18:10:00
Electricity,7339.69,Operational,2024-11-24 18:10:05
Water,2856.47,Partially Operational,2024-11-24 18:10:10
Water,6581.4,Operational,2024-11-24 18:10:15
Waste Management,2654.48,Operational,2024-11-24 18:10:20
Electricity,6466.55,Operational,2024-11-24 18:10:25
Waste Management,3369.26,Operational,2024-11-24 18:10:30
Waste Management,9154.7,Non-Operational,2024-11-24 18:10:35
Electricity,185.88,Non-Operational,2024-11-24 18:10:40
Electricity,8940.91,Operational,2024-11-24 18:10:45
Electricity,5524.1,Non-Operational,2024-11-24 18:10:50
Waste Management,4311.19,Operational,2024-11-24 18:10:55
Waste Management,5441.09,Partially Operational,2024-11-24 18:11:00
Water,1552.2,Partially Operational,2024-11-24 18:11:05
Electricity,5146.89,Partially Operational,2024-11-24 18:11:10
Waste Management,1634.44,Partially Operational,2024-11-24 18:11:15
Water,4813.68,Non-Operational,2024-11-24 18:11:20
Water,4514.78,Partially Operational,2024-11-24 18:11:25
Waste Management,5127.65,Partially Operational,2024-11-24 18:11:30
Waste Management,3693.53,Non-Operational,2024-11-24 18:11:35
Waste Management,3900.03,Non-Operational,2024-11-24 18:11:40
Waste Management,2168.58,Partially Operational,2024-11-24 18:11:45
Waste Management,471.77,Partially Operational,2024-11-24 18:11:50
Water,3727.21,Non-Operational,2024-11-24 18:11:55
Electricity,9450.49,Non-Operational,2024-11-24 18:12:00
Electricity,4709.24,Non-Operational,2024-11-24 18:12:05
Waste Management,9383.41,Non-Operational,2024-11-24 18:12:10
Water,3290.64,Non-Operational,2024-11-24 18:12:15
Electricity,9243.43,Non-Operational,2024-11-24 18:12:20
Waste Management,5698.86,Operational,2024-11-24 18:12:25
Electricity,9342.71,Non-Operational,2024-11-24 18:12:30
Waste Management,8413.61,Partially Operational,2024-11-24 18:12:35
Water,7522.56,Non-Operational,2024-11-24 18:12:40
Water,9640.13,Operational,2024-11-24 18:12:45
Waste Management,2708.18,Partially Operational,2024-11-24 18:12:50
Electricity,4463.0,Partially Operational,2024-11-24 18:12:55
Water,1143.35,Non-Operational,2024-11-24 18:13:00
Electricity,8440.1,Operational,2024-11-24 18:13:05
Water,357.83,Operational,2024-11-24 18:13:10
Water,9707.45,Non-Operational,2024-11-24 18:13:15
Water,3642.81,Non-Operational,2024-11-24 18:13:20
Electricity,7819.81,Partially Operational,2024-11-24 18:13:25
Waste Management,6515.18,Operational,2024-11-24 18:13:30
Waste Management,4530.55,Partially Operational,2024-11-24 18:13:35
Electricity,7679.13,Partially Operational,2024-11-24 18:13:40
Electricity,5853.55,Non-Operational,2024-11-24 18:13:45
Water,418.48,Partially Operational,2024-11-24 18:13:50
Electricity,756.15,Partially Operational,2024-11-24 18:13:56
Waste Management,4429.66,Non-Operational,2024-11-24 18:14:01
Water,9564.15,Operational,2024-11-24 18:14:06
Water,6936.64,Non-Operational,2024-11-24 18:14:11
Electricity,2414.62,Operational,2024-11-24 18:14:16
Water,8845.11,Operational,2024-11-24 18:14:21
Water,9241.13,Non-Operational,2024-11-24 18:14:26
Water,7315.57,Non-Operational,2024-11-24 18:14:31
Electricity,9578.75,Operational,2024-11-24 18:14:36
Waste Management,3140.59,Operational,2024-11-24 18:14:41
Electricity,3995.83,Partially Operational,2024-11-24 18:14:46
Water,5938.65,Operational,2024-11-24 18:14:51
Electricity,7041.12,Non-Operational,2024-11-24 18:14:56
Water,7592.92,Partially Operational,2024-11-24 18:15:01
Electricity,4394.95,Non-Operational,2024-11-24 18:15:06
Waste Management,7380.48,Partially Operational,2024-11-24 18:15:11
Electricity,1372.91,Non-Operational,2024-11-24 18:15:16
Waste Management,8102.93,Operational,2024-11-24 18:15:21
Waste Management,464.66,Non-Operational,2024-11-24 18:15:26
Electricity,5977.7,Operational,2024-11-24 18:15:31
Water,4721.47,Partially Operational,2024-11-24 18:15:36
Electricity,4304.87,Operational,2024-11-24 18:15:41
Electricity,2679.1,Operational,2024-11-24 18:15:46
Waste Management,6798.51,Non-Operational,2024-11-24 18:15:51
Electricity,950.57,Partially Operational,2024-11-24 18:15:56
Electricity,3986.61,Non-Operational,2024-11-24 18:16:01
Electricity,1202.97,Operational,2024-11-24 18:16:06
Electricity,1126.44,Partially Operational,2024-11-24 18:16:11
Electricity,1507.13,Partially Operational,2024-11-24 18:16:16
Water,4071.69,Partially Operational,2024-11-24 18:16:21
Waste Management,1197.83,Operational,2024-11-24 18:16:26
Waste Management,280.44,Operational,2024-11-24 18:16:31
Water,6291.3,Non-Operational,2024-11-24 18:16:36
Water,3379.46,Non-Operational,2024-11-24 18:16:41
Electricity,6469.12,Operational,2024-11-24 18:16:46
Water,6759.6,Operational,2024-11-24 18:16:51
Electricity,5303.27,Non-Operational,2024-11-24 18:16:56
Waste Management,8111.53,Partially Operational,2024-11-24 18:17:01
Waste Management,5515.49,Partially Operational,2024-11-24 18:17:06
Water,1333.24,Non-Operational,2024-11-24 18:17:11
Waste Management,5740.87,Non-Operational,2024-11-24 18:17:16
Waste Management,5835.38,Partially Operational,2024-11-24 18:17:21
Waste Management,626.88,Operational,2024-11-24 18:17:26
Electricity,5590.26,Operational,2024-11-24 18:17:31
Electricity,6880.4,Non-Operational,2024-11-24 18:17:36
Electricity,1177.19,Non-Operational,2024-11-24 18:17:41
Water,7377.17,Partially Operational,2024-11-24 18:17:46
Waste Management,843.06,Non-Operational,2024-11-24 18:17:51
Electricity,1690.36,Operational,2024-11-24 18:17:56
Water,3035.43,Operational,2024-11-24 18:18:01
Waste Management,3963.48,Partially Operational,2024-11-24 18:18:06
Water,2755.09,Non-Operational,2024-11-24 18:18:11
Water,3366.33,Partially Operational,2024-11-24 18:18:16
Electricity,4743.66,Non-Operational,2024-11-24 18:18:21
Electricity,2041.59,Operational,2024-11-24 18:18:26
Waste Management,2290.94,Non-Operational,2024-11-24 18:18:31
Waste Management,8078.19,Partially Operational,2024-11-24 18:18:36
Waste Management,6551.51,Operational,2024-11-24 18:18:41
Waste Management,8724.05,Non-Operational,2024-11-24 18:18:46
Water,5922.3,Partially Operational,2024-11-24 18:18:51
Electricity,9047.25,Partially Operational,2024-11-24 18:18:56
Water,3202.65,Operational,2024-11-24 18:19:01
Electricity,5386.97,Operational,2024-11-24 18:19:06
Waste Management,2941.25,Non-Operational,2024-11-24 18:19:11
Electricity,2745.54,Operational,2024-11-24 18:19:16
Water,4924.38,Non-Operational,2024-11-24 18:19:21
Water,6581.67,Partially Operational,2024-11-24 18:19:26
Electricity,479.55,Operational,2024-11-24 18:19:31
Waste Management,375.42,Operational,2024-11-24 18:19:36
Water,7069.97,Non-Operational,2024-11-24 18:19:41
Water,1403.34,Non-Operational,2024-11-24 18:19:46
Waste Management,2009.16,Partially Operational,2024-11-24 18:19:51
Waste Management,8697.05,Non-Operational,2024-11-24 18:19:56
Water,1063.7,Partially Operational,2024-11-24 18:20:01
Water,4064.29,Partially Operational,2024-11-24 18:20:06
Waste Management,8865.19,Operational,2024-11-24 18:20:11
